Newspaper,Decade,Total_Pages,Total_Faces,Pages_With_Faces,Percentage_Pages_With_Faces
IMP,1880s,34,0,0,0.0
IMP,1890s,52,4,4,7.6923076923076925
IMP,1900s,68,6,4,5.88235294117647
IMP,1910s,52,12,10,19.230769230769234
IMP,1920s,64,21,14,21.875
IMP,1930s,54,11,10,18.51851851851852
IMP,1940s,56,12,7,12.5
IMP,1950s,94,64,34,36.17021276595745
IMP,1960s,144,117,49,34.02777777777778
IMP,1970s,200,133,60,30.0
IMP,1980s,210,240,82,39.04761904761905
IMP,1990s,202,132,72,35.64356435643564
IMP,2000s,216,529,142,65.74074074074075
IMP,2010s,188,562,139,73.93617021276596
