Newspaper,Decade,Total_Pages,Total_Faces,Pages_With_Faces,Percentage_Pages_With_Faces
JDG,1820s,26,0,0,0.0
JDG,1830s,54,0,0,0.0
JDG,1840s,50,0,0,0.0
JDG,1850s,48,0,0,0.0
JDG,1860s,48,0,0,0.0
JDG,1870s,46,2,1,2.1739130434782608
JDG,1880s,50,3,3,6.0
JDG,1890s,52,0,0,0.0
JDG,1900s,54,4,4,7.4074074074074066
JDG,1910s,50,3,2,4.0
JDG,1920s,110,12,6,5.454545454545454
JDG,1930s,104,15,11,10.576923076923077
JDG,1940s,92,9,8,8.695652173913043
JDG,1950s,116,27,17,14.655172413793101
JDG,1960s,166,20,15,9.036144578313253
JDG,1970s,186,29,27,14.516129032258066
JDG,1980s,306,82,64,20.915032679738562
JDG,1990s,424,132,84,19.81132075471698
