Newspaper,Decade,Total_Pages,Total_Faces,Pages_With_Faces,Percentage_Pages_With_Faces
GDL,1790s,20,0,0,0.0
GDL,1800s,36,1,1,2.7777777777777777
GDL,1810s,26,0,0,0.0
GDL,1820s,32,0,0,0.0
GDL,1830s,36,1,1,2.7777777777777777
GDL,1840s,24,0,0,0.0
GDL,1850s,24,0,0,0.0
GDL,1860s,24,0,0,0.0
GDL,1870s,24,0,0,0.0
GDL,1880s,24,0,0,0.0
GDL,1890s,26,0,0,0.0
GDL,1900s,28,0,0,0.0
GDL,1910s,30,4,4,13.333333333333334
GDL,1920s,28,3,3,10.714285714285714
GDL,1930s,28,3,3,10.714285714285714
GDL,1940s,38,6,4,10.526315789473683
GDL,1950s,48,4,4,8.333333333333332
GDL,1960s,90,7,7,7.777777777777778
GDL,1970s,78,5,5,6.41025641025641
GDL,1980s,136,35,27,19.852941176470587
GDL,1990s,208,83,55,26.442307692307693
JDG,1820s,26,0,0,0.0
JDG,1830s,54,0,0,0.0
JDG,1840s,50,0,0,0.0
JDG,1850s,48,0,0,0.0
JDG,1860s,48,0,0,0.0
JDG,1870s,46,2,1,2.1739130434782608
JDG,1880s,50,3,3,6.0
JDG,1890s,52,0,0,0.0
JDG,1900s,54,4,4,7.4074074074074066
JDG,1910s,50,3,2,4.0
JDG,1920s,110,12,6,5.454545454545454
JDG,1930s,104,15,11,10.576923076923077
JDG,1940s,92,9,8,8.695652173913043
JDG,1950s,116,27,17,14.655172413793101
JDG,1960s,166,20,15,9.036144578313253
JDG,1970s,186,29,27,14.516129032258066
JDG,1980s,306,82,64,20.915032679738562
JDG,1990s,424,132,84,19.81132075471698
IMP,1880s,34,0,0,0.0
IMP,1890s,52,4,4,7.6923076923076925
IMP,1900s,68,6,4,5.88235294117647
IMP,1910s,52,12,10,19.230769230769234
IMP,1920s,64,21,14,21.875
IMP,1930s,54,11,10,18.51851851851852
IMP,1940s,56,12,7,12.5
IMP,1950s,94,64,34,36.17021276595745
IMP,1960s,144,117,49,34.02777777777778
IMP,1970s,200,133,60,30.0
IMP,1980s,210,240,82,39.04761904761905
IMP,1990s,202,132,72,35.64356435643564
IMP,2000s,216,529,142,65.74074074074075
IMP,2010s,188,562,139,73.93617021276596
